genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,combined_text
Country,A Thousand Horses,My Time's Comin',16zol4GvHyTER5irYODUk0,45,0.00192,0.327,194107,0.835,0.00015,C,0.167,-4.952,Major,0.0609,171.795,4/4,0.385,"artist: a thousand horses, track: my times comin, genre: country"
Soundtrack,Mark Mothersbaugh,House Tour,6ac5gUfGTckpdGQCyWsdh2,25,0.932,0.253,102920,0.0798,0.568,C,0.0906,-18.512,Major,0.0439,110.931,4/4,0.0487,"artist: mark mothersbaugh, track: house tour, genre: soundtrack"
Reggae,Unified Highway,We Can't Fall (Remix) [feat. J. Patz],09Yz6koF1Y15n1012t1UX6,19,0.0331,0.821,225437,0.737,0.0134,E,0.132,-6.295,Minor,0.212,137.968,4/4,0.787,"artist: unified highway, track: we cant fall remix feat j patz, genre: reggae"
Electronic,Stooki Sound,Endz - Original Mix,3dzEZARDL4ZwICMKVta7Xn,29,0.00428,0.745,225400,0.772,0.114,E,0.0722,-3.949,Major,0.0904,133.113,4/4,0.17,"artist: stooki sound, track: endz  original mix, genre: electronic"
Comedy,Bill Hicks,I Love My Job (Live),39Z1G5384UgGa5vmW6WyxC,17,0.965,0.502,287973,0.804,9.56e-05,G,0.902,-9.935,Major,0.807,104.576,3/4,0.185,"artist: bill hicks, track: i love my job live, genre: comedy"
Children's Music,Sugar Kane Music,How Much Is That Doggy In The Window?,4jqa6EVFnjnnzP1Ud5Kmkx,16,0.715,0.787,133787,0.224,0.0,B,0.138,-9.607,Major,0.0366,146.054,3/4,0.657,"artist: sugar kane music, track: how much is that doggy in the window, genre: childrens music"
Pop,Justin Timberlake,Morning Light,3KnLHwhRhJGuQM822JVSoI,63,0.382,0.62,243040,0.497,0.0482,A,0.193,-9.585,Minor,0.119,155.908,4/4,0.55,"artist: justin timberlake, track: morning light, genre: pop"
Hip-Hop,Lil Keke,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),5i0n3xtjuVFLp646joI9XS,51,0.0298,0.929,299733,0.61,0.0,B,0.0958,-6.064,Minor,0.321,136.081,4/4,0.868,"artist: lil keke, track: chunk up the deuce feat ugk  paul wall, genre: hiphop"
Country,Cole Swindell,Get Up,0xcNCh68MRPmaY9c8m5SuH,41,0.0709,0.57,161040,0.715,0.0,C#,0.0745,-3.399,Major,0.044,148.032,4/4,0.831,"artist: cole swindell, track: get up, genre: country"
Soul,Hayden James,Something About You - ODESZA Remix,6vjWim6xU6tPjA42GxSp1U,65,0.0216,0.709,343800,0.669,0.0125,B,0.146,-8.422,Minor,0.0409,105.004,4/4,0.106,"artist: hayden james, track: something about you  odesza remix, genre: soul"
Comedy,Martin Lawrence,Wash Yo' Ass,2w7G8KNE2lKD0bitsvhoyi,18,0.66,0.648,72800,0.414,0.0,A#,0.882,-20.418,Major,0.949,88.283,4/4,0.524,"artist: martin lawrence, track: wash yo ass, genre: comedy"
Ska,Reel Big Fish,Where Have You Been - Live,2n3uYpguVyFKj1txkUyDXg,19,0.167,0.529,450093,0.643,5.78e-06,A,0.355,-7.51,Minor,0.0415,96.536,4/4,0.664,"artist: reel big fish, track: where have you been  live, genre: ska"
Anime,Ayumi Hamasaki,teddy bear,26h3quLOSrdc1AvJGPjqUr,27,0.938,0.543,258100,0.339,1.12e-05,G#,0.351,-8.523,Major,0.0365,110.981,3/4,0.367,"artist: ayumi hamasaki, track: teddy bear, genre: anime"
R&B,LEISURE,Tied Up,5gQbAyvNJMGoyAGOcwXI6x,20,0.175,0.807,185173,0.594,0.0591,A,0.32,-7.945,Major,0.0295,130.086,4/4,0.83,"artist: leisure, track: tied up, genre: rb"
Ska,Rancid,East Bay Night - Acoustic,0fJH378O6bjtlXaznTzu0L,27,0.8,0.631,127227,0.66,0.0,D,0.137,-7.478,Major,0.0257,97.159,4/4,0.614,"artist: rancid, track: east bay night  acoustic, genre: ska"
Soul,Palace,Veins,1UsXMQwIzCKSk6oIdRE5Jc,47,0.349,0.429,269975,0.273,0.0384,C,0.111,-9.719,Major,0.0287,110.161,3/4,0.112,"artist: palace, track: veins, genre: soul"
Opera,Dame Joan Sutherland,Handel: Rodelinda: Ritorna o caro,3GPzpZlnHgUfBPkuEtQymR,10,0.963,0.249,284173,0.257,0.111,G#,0.12,-15.19,Major,0.0445,79.599,4/4,0.115,"artist: dame joan sutherland, track: handel: rodelinda: ritorna o caro, genre: opera"
Reggae,Bob Marley & The Wailers,Pimper's Paradise,5JqCmd41S3PZ2AS6GuHqcR,65,0.00499,0.939,207773,0.642,0.0,A,0.0427,-8.189,Minor,0.0525,134.709,4/4,0.967,"artist: bob marley  the wailers, track: pimpers paradise, genre: reggae"
Dance,Sigrid,Basic,27rABo3vAhwpnnqmTO9fMM,0,0.121,0.674,217743,0.531,0.0,F#,0.197,-6.941,Minor,0.0516,129.939,4/4,0.17,"artist: sigrid, track: basic, genre: dance"
Rock,HUNNY,Parking Lot,49hK8RTciFjSL8QQSl8IY4,51,0.00303,0.498,205937,0.844,0.0,G,0.355,-5.163,Minor,0.0474,103.97,4/4,0.469,"artist: hunny, track: parking lot, genre: rock"
Ska,Jimmy Cliff,Sufferin' In The Land,34zHUd57FDbb1NPCQ6ceFH,21,0.145,0.873,191533,0.391,3.7e-05,G,0.15,-15.117,Major,0.0422,119.628,4/4,0.982,"artist: jimmy cliff, track: sufferin in the land, genre: ska"
Reggae,Richie Spice,Earth Alert,2ypYip1195wsLtBUObdCik,0,0.134,0.81,261787,0.44,2.98e-05,C,0.0992,-7.745,Major,0.21,142.543,4/4,0.706,"artist: richie spice, track: earth alert, genre: reggae"
Soundtrack,Jeff Beal,I Know What I Have To Do,1lhFEWOnEuaoukpa22BTU2,35,0.949,0.236,163853,0.117,0.854,G#,0.123,-23.925,Major,0.0317,70.196,5/4,0.071,"artist: jeff beal, track: i know what i have to do, genre: soundtrack"
Soundtrack,Randy Edelman,A Steep But Beautiful Climb,2s0f9qk6C7XsivqH7UEQIK,31,0.987,0.34,153813,0.134,0.906,C,0.0959,-16.512,Major,0.0323,81.047,3/4,0.198,"artist: randy edelman, track: a steep but beautiful climb, genre: soundtrack"
Folk,Natalie Merchant,Wonder,5Hz6aGrZZizNBoJ6kE6Rqi,53,0.346,0.719,266008,0.739,0.0102,C#,0.0581,-5.577,Major,0.0419,115.142,4/4,0.603,"artist: natalie merchant, track: wonder, genre: folk"
